<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.RTS,D,20070518,000000,184500.00000,187815.00000,184000.00000,187610.00000
SPFB.RTS,D,20070521,000000,189355.00000,189995.00000,186600.00000,187025.00000
SPFB.RTS,D,20070522,000000,187785.00000,188000.00000,185050.00000,185900.00000
SPFB.RTS,D,20070523,000000,185405.00000,185845.00000,181115.00000,182000.00000
SPFB.RTS,D,20070524,000000,181100.00000,181100.00000,176120.00000,179500.00000
SPFB.RTS,D,20070525,000000,178055.00000,179800.00000,175100.00000,178800.00000
SPFB.RTS,D,20070528,000000,179695.00000,180900.00000,175105.00000,176300.00000
SPFB.RTS,D,20070529,000000,175800.00000,178195.00000,171805.00000,173000.00000
SPFB.RTS,D,20070530,000000,170000.00000,173290.00000,166015.00000,172005.00000
SPFB.RTS,D,20070531,000000,174100.00000,178400.00000,173900.00000,178400.00000
SPFB.RTS,D,20070601,000000,179000.00000,184890.00000,176875.00000,184700.00000
SPFB.RTS,D,20070604,000000,184075.00000,184375.00000,181150.00000,183485.00000
SPFB.RTS,D,20070605,000000,184000.00000,185775.00000,182650.00000,183025.00000
SPFB.RTS,D,20070606,000000,183000.00000,184900.00000,180805.00000,182110.00000
SPFB.RTS,D,20070607,000000,183500.00000,184875.00000,182000.00000,182700.00000
SPFB.RTS,D,20070608,000000,180015.00000,183000.00000,178200.00000,182985.00000
SPFB.RTS,D,20070609,000000,183005.00000,183005.00000,181175.00000,181805.00000
SPFB.RTS,D,20070613,000000,180000.00000,183690.00000,179750.00000,183400.00000
SPFB.RTS,D,20070614,000000,185000.00000,190170.00000,184700.00000,190005.00000
SPFB.RTS,D,20070615,000000,191000.00000,191700.00000,188055.00000,190355.00000
SPFB.RTS,D,20070618,000000,192000.00000,192950.00000,191175.00000,191800.00000
SPFB.RTS,D,20070619,000000,190755.00000,193500.00000,189610.00000,189625.00000
SPFB.RTS,D,20070620,000000,190500.00000,194395.00000,190000.00000,193990.00000
SPFB.RTS,D,20070621,000000,192100.00000,193755.00000,190800.00000,190800.00000
SPFB.RTS,D,20070622,000000,191500.00000,192445.00000,190005.00000,191320.00000
SPFB.RTS,D,20070625,000000,190455.00000,190695.00000,189065.00000,189700.00000
SPFB.RTS,D,20070626,000000,190040.00000,192220.00000,189200.00000,192020.00000
SPFB.RTS,D,20070627,000000,191000.00000,191500.00000,188760.00000,189810.00000
SPFB.RTS,D,20070628,000000,191000.00000,192300.00000,190850.00000,191400.00000
SPFB.RTS,D,20070629,000000,192005.00000,192800.00000,189990.00000,192050.00000
SPFB.RTS,D,20070702,000000,191720.00000,194195.00000,191620.00000,193700.00000
SPFB.RTS,D,20070703,000000,194985.00000,197200.00000,194600.00000,196755.00000
SPFB.RTS,D,20070704,000000,196950.00000,197200.00000,195950.00000,196340.00000
SPFB.RTS,D,20070705,000000,196770.00000,199395.00000,196710.00000,198900.00000
SPFB.RTS,D,20070706,000000,198810.00000,199445.00000,197505.00000,198975.00000
SPFB.RTS,D,20070709,000000,199400.00000,201565.00000,199300.00000,201000.00000
SPFB.RTS,D,20070710,000000,200100.00000,200990.00000,198200.00000,198400.00000
SPFB.RTS,D,20070711,000000,197000.00000,200385.00000,196815.00000,200330.00000
SPFB.RTS,D,20070712,000000,201800.00000,208700.00000,201075.00000,208505.00000
SPFB.RTS,D,20070713,000000,211000.00000,211300.00000,207205.00000,208310.00000
SPFB.RTS,D,20070716,000000,208200.00000,209000.00000,206700.00000,207600.00000
SPFB.RTS,D,20070717,000000,206900.00000,208605.00000,204685.00000,208550.00000
SPFB.RTS,D,20070718,000000,206505.00000,207375.00000,203390.00000,205335.00000
SPFB.RTS,D,20070719,000000,206305.00000,209690.00000,206305.00000,209600.00000
SPFB.RTS,D,20070720,000000,210305.00000,210500.00000,206510.00000,207060.00000
SPFB.RTS,D,20070723,000000,206260.00000,211180.00000,205300.00000,210350.00000
SPFB.RTS,D,20070724,000000,210605.00000,211000.00000,205720.00000,206005.00000
SPFB.RTS,D,20070725,000000,205005.00000,207000.00000,203555.00000,206900.00000
SPFB.RTS,D,20070726,000000,207250.00000,208000.00000,199625.00000,200010.00000
SPFB.RTS,D,20070727,000000,196500.00000,198400.00000,192410.00000,196205.00000
SPFB.RTS,D,20070730,000000,195395.00000,198095.00000,192715.00000,196490.00000
SPFB.RTS,D,20070731,000000,197940.00000,199990.00000,196990.00000,199700.00000
SPFB.RTS,D,20070801,000000,195000.00000,195555.00000,192855.00000,194100.00000
SPFB.RTS,D,20070802,000000,195500.00000,196625.00000,194200.00000,195500.00000
SPFB.RTS,D,20070803,000000,196500.00000,198300.00000,195300.00000,195355.00000
SPFB.RTS,D,20070806,000000,192000.00000,195175.00000,190700.00000,194230.00000
SPFB.RTS,D,20070807,000000,195100.00000,196950.00000,194605.00000,195450.00000
SPFB.RTS,D,20070808,000000,196105.00000,199785.00000,195800.00000,199650.00000
SPFB.RTS,D,20070809,000000,200500.00000,201900.00000,192500.00000,193350.00000
SPFB.RTS,D,20070810,000000,190005.00000,191765.00000,187800.00000,190500.00000
SPFB.RTS,D,20070813,000000,192490.00000,194190.00000,190740.00000,193780.00000
SPFB.RTS,D,20070814,000000,192905.00000,193690.00000,191360.00000,192600.00000
SPFB.RTS,D,20070815,000000,188985.00000,190500.00000,187770.00000,189300.00000
SPFB.RTS,D,20070816,000000,184000.00000,185995.00000,181820.00000,182870.00000
SPFB.RTS,D,20070817,000000,181795.00000,187730.00000,179400.00000,186500.00000
SPFB.RTS,D,20070820,000000,187500.00000,189000.00000,185125.00000,185295.00000
SPFB.RTS,D,20070821,000000,185375.00000,186885.00000,179795.00000,183320.00000
SPFB.RTS,D,20070822,000000,183200.00000,186670.00000,182300.00000,185800.00000
SPFB.RTS,D,20070823,000000,187925.00000,189000.00000,186035.00000,186375.00000
SPFB.RTS,D,20070824,000000,185500.00000,188005.00000,184550.00000,187300.00000
SPFB.RTS,D,20070827,000000,188555.00000,191050.00000,188480.00000,190305.00000
SPFB.RTS,D,20070828,000000,189500.00000,190095.00000,187440.00000,187440.00000
SPFB.RTS,D,20070829,000000,185150.00000,187880.00000,183700.00000,187880.00000
SPFB.RTS,D,20070830,000000,189500.00000,190300.00000,187205.00000,187755.00000
SPFB.RTS,D,20070831,000000,189000.00000,192960.00000,189000.00000,191990.00000
SPFB.RTS,D,20070903,000000,192500.00000,193495.00000,191150.00000,192700.00000
SPFB.RTS,D,20070904,000000,192250.00000,192325.00000,190020.00000,191195.00000
SPFB.RTS,D,20070905,000000,191090.00000,191985.00000,189600.00000,190060.00000
