<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.Si,D,20070312,000000,26218.00000,26218.00000,26155.00000,26155.00000
SPFB.Si,D,20070313,000000,26170.00000,26171.00000,26106.00000,26114.00000
SPFB.Si,D,20070314,000000,26138.00000,26150.00000,26110.00000,26120.00000
SPFB.Si,D,20070315,000000,26138.00000,26143.00000,26088.00000,26100.00000
SPFB.Si,D,20070316,000000,26042.00000,26062.00000,26000.00000,26031.00000
SPFB.Si,D,20070319,000000,26020.00000,26050.00000,26020.00000,26049.00000
SPFB.Si,D,20070320,000000,26047.00000,26050.00000,26032.00000,26036.00000
SPFB.Si,D,20070321,000000,26033.00000,26033.00000,26033.00000,26033.00000
SPFB.Si,D,20070322,000000,25975.00000,25983.00000,25956.00000,25983.00000
SPFB.Si,D,20070323,000000,26015.00000,26053.00000,25982.00000,26039.00000
SPFB.Si,D,20070326,000000,26050.00000,26069.00000,26030.00000,26030.00000
SPFB.Si,D,20070327,000000,26014.00000,26014.00000,25972.00000,26000.00000
SPFB.Si,D,20070328,000000,25978.00000,25999.00000,25955.00000,25977.00000
SPFB.Si,D,20070329,000000,25985.00000,26010.00000,25972.00000,26010.00000
SPFB.Si,D,20070330,000000,26003.00000,26030.00000,25987.00000,26030.00000
SPFB.Si,D,20070402,000000,25988.00000,25988.00000,25957.00000,25957.00000
SPFB.Si,D,20070403,000000,26020.00000,26020.00000,25954.00000,25959.00000
SPFB.Si,D,20070404,000000,25950.00000,25990.00000,25950.00000,25990.00000
SPFB.Si,D,20070405,000000,25960.00000,25975.00000,25900.00000,25901.00000
SPFB.Si,D,20070406,000000,25925.00000,25955.00000,25925.00000,25955.00000
SPFB.Si,D,20070409,000000,25979.00000,25979.00000,25940.00000,25950.00000
SPFB.Si,D,20070410,000000,25906.00000,25916.00000,25890.00000,25895.00000
SPFB.Si,D,20070411,000000,25900.00000,25915.00000,25894.00000,25894.00000
SPFB.Si,D,20070412,000000,25868.00000,25880.00000,25845.00000,25877.00000
SPFB.Si,D,20070413,000000,25808.00000,25810.00000,25761.00000,25765.00000
SPFB.Si,D,20070416,000000,25761.00000,25775.00000,25743.00000,25762.00000
SPFB.Si,D,20070417,000000,25763.00000,25779.00000,25700.00000,25726.00000
SPFB.Si,D,20070418,000000,25712.00000,25755.00000,25700.00000,25733.00000
SPFB.Si,D,20070419,000000,25744.00000,25744.00000,25718.00000,25725.00000
