385k	100698
170k	100740
135k	100775
 41k	101911
225k	102234
474k	104429
225k	104476
110k	104480
540k	104514
279k	104516
149k	104517
264k	104518
313k	104520
429k	104522
241k	104523
142k	104525
194k	104526
466k	104527
281k	104530
388k	104531
741k	104532
349k	104533
448k	104534
406k	104535
807k	104536
425k	104537
571k	104538
370k	104540
671k	104541
229k	104545
254k	104546
580k	104548
 77k	104549
627k	104550
 45k	104551
333k	104556
231k	104557
457k	104558
228k	104559
414k	104562
236k	104563
565k	104564
703k	104567
115k	104568
173k	104569
396k	104570
295k	104573
432k	104574
425k	104577
319k	104579
322k	104582
270k	104583
476k	104586
443k	104587
 47k	104588
200k	104589
290k	104590
185k	104592
308k	104595
660k	104596
684k	104597
320k	104599
223k	104600
300k	104603
309k	104604
273k	104606
322k	104607
165k	104608
488k	104609
339k	104613
352k	104614
548k	104619
422k	104623
734k	104625
264k	104626
147k	104627
 81k	104628
143k	104629
153k	104630
313k	104631
543k	104632
510k	104633
529k	104634
399k	104635
175k	104636
243k	104638
466k	104639
 84k	104641
290k	104670
457k	104693
286k	104933
429k	104934
322k	104935
462k	104936
150k	104937
415k	104938
 90k	104941
287k	104943
113k	104944
187k	104945
228k	104946
310k	104947
501k	104948
284k	104949
386k	104950
327k	104952
281k	104953
256k	104954
744k	104955
185k	104956
1,1M	104957
281k	104958
202k	104959
368k	104960
373k	104962
375k	104963
116k	104965
341k	105018
229k	105019
332k	105020
266k	105021
477k	105022
233k	105023
480k	105024
327k	105025
206k	105026
678k	105027
328k	105029
340k	105030
355k	105031
742k	105033
213k	105034
514k	105035
135k	105036
481k	105038
540k	105039
147k	105042
229k	105045
451k	105046
422k	105048
114k	105049
 57k	105052
334k	105055
316k	105057
481k	105060
329k	105061
 89k	105062
 51k	105064
713k	105065
399k	105066
277k	105068
169k	105076
443k	105077
717k	105078
389k	105079
 96k	105081
397k	105084
640k	105085
339k	105086
276k	105087
627k	105088
691k	105089
517k	105090
 48k	105091
108k	105093
217k	105094
370k	105095
346k	105097
236k	105098
240k	105099
239k	105102
 95k	105103
225k	105104
403k	105105
240k	105106
221k	105107
559k	105108
176k	105109
 97k	105111
 56k	105113
140k	105114
106k	105115
382k	105118
503k	105119
 79k	105123
251k	105124
356k	105125
743k	105127
297k	105128
127k	105132
285k	105133
165k	105135
220k	105136
416k	105137
127k	105138
147k	105159
490k	105163
569k	105166
 75k	105168
215k	105174
283k	105175
910k	105177
433k	105179
229k	105181
393k	105182
295k	105183
 86k	105184
 72k	105185
317k	105186
203k	105187
435k	105188
746k	105190
680k	105191
254k	105192
1,2M	105194
393k	105196
120k	105197
463k	105198
 57k	105200
354k	105202
433k	105204
381k	105205
387k	105206
225k	105207
288k	105208
166k	105209
336k	105210
 50k	105211
252k	105212
285k	105213
285k	105214
177k	105216
321k	105217
318k	105222
517k	105225
479k	105226
350k	105228
233k	105229
291k	105230
167k	105235
134k	105237
475k	105273
251k	105275
208k	105277
394k	105278
523k	105279
646k	105280
288k	105281
557k	105284
396k	105285
264k	105286
174k	105291
306k	105292
193k	105295
398k	105297
 48k	105301
 37k	105309
316k	105311
166k	105316
166k	105317
159k	105319
143k	105320
475k	105324
231k	105325
310k	105329
337k	105330
661k	105332
270k	105333
286k	105334
213k	105336
101k	105337
548k	105338
229k	105340
239k	105341
108k	105342
141k	105344
424k	105348
465k	105349
1,1M	105353
368k	105354
321k	105355
111k	105356
197k	105358
201k	105359
176k	105361
223k	105363
 52k	105366
313k	105367
237k	105368
259k	105369
174k	105370
363k	105371
568k	105372
379k	105375
528k	105377
258k	105378
 69k	105383
147k	105386
185k	105387
109k	105389
418k	105391
208k	105393
 87k	105395
196k	105400
237k	105403
144k	105405
286k	105407
 85k	105409
259k	105411
124k	105413
319k	105415
297k	105417
467k	105419
294k	105420
412k	105421
409k	105423
137k	105425
351k	105426
519k	105427
138k	105429
389k	105430
201k	105433
236k	105437
421k	105439
366k	105441
490k	105442
490k	105446
229k	105447
490k	105448
521k	105449
408k	105450
385k	105451
195k	105452
209k	105453
233k	105454
253k	105455
1,0M	105458
183k	105460
491k	105461
198k	105465
389k	105466
162k	105467
365k	105468
296k	105470
270k	105472
351k	105473
574k	105476
287k	105477
229k	105479
614k	105480
614k	105481
557k	105483
160k	105485
430k	105492
344k	105494
314k	105497
387k	105498
253k	105499
238k	105500
555k	105501
342k	105502
268k	105505
335k	105506
866k	105507
316k	105508
316k	105509
260k	105510
293k	105511
489k	105512
214k	105513
175k	105514
420k	105515
495k	105516
386k	105517
 69k	105519
 69k	105520
332k	105521
207k	105522
 49k	105523
206k	105524
 62k	105525
584k	105527
975k	105528
179k	105529
156k	105534
 31k	105535
381k	105537
223k	105538
329k	105539
198k	105540
291k	105541
236k	105542
244k	105543
104k	105544
 40k	105545
128k	105546
257k	105547
329k	105549
513k	105550
413k	105551
157k	105552
586k	105554
909k	105555
204k	105557
289k	105558
250k	105563
 65k	105565
349k	105566
 95k	105567
 94k	105568
210k	105569
299k	105570
  1M	105571
247k	105572
109k	105573
273k	105574
220k	105576
452k	105577
359k	105578
338k	105579
635k	105580
457k	105581
356k	105582
356k	105583
164k	105584
187k	105585
308k	105586
 94k	105587
189k	105589
165k	105590
250k	105591
 28k	105592
329k	105593
412k	105594
329k	105595
129k	105596
330k	105597
387k	105598
400k	105600
135k	105601
190k	105602
164k	105603
310k	105604
 93k	105605
241k	105607
113k	105609
174k	105610
372k	105611
 28k	105621
307k	105622
642k	105623
 51k	105624
419k	105625
149k	105626
471k	105627
159k	105628
 94k	105629
335k	105630
673k	105631
612k	105632
381k	105633
786k	105634
388k	105635
113k	105636
321k	105638
344k	105639
404k	105640
394k	105643
470k	105644
527k	105645
306k	105646
306k	105647
 32k	105649
409k	105650
357k	105655
167k	105656
203k	105658
642k	105659
168k	105660
 60k	105661
328k	105662
217k	105664
921k	105666
492k	105667
184k	105668
660k	105669
361k	105670
419k	105671
675k	105675
329k	105677
401k	105678
397k	105679
286k	105681
276k	105682
346k	105683
233k	105684
419k	105685
292k	105686
451k	105687
279k	105692
211k	105693
311k	105694
167k	105695
497k	105696
241k	105698
522k	105700
341k	105703
502k	105704
383k	105705
121k	105708
386k	105710
 94k	105712
986k	105713
344k	105714
453k	105715
154k	105719
360k	105720
285k	105721
155k	105722
213k	105723
457k	105724
 50k	105725
392k	105727
253k	105728
242k	105729
209k	105732
370k	105733
359k	105735
 99k	105738
127k	105740
479k	105741
176k	105743
 39k	105744
683k	105745
328k	105747
175k	105748
138k	105749
404k	105751
 40k	105755
362k	105757
380k	105759
492k	105761
192k	105762
292k	105763
470k	105765
336k	105766
168k	105767
283k	105768
490k	105774
140k	105775
269k	105776
449k	105777
319k	105778
470k	105779
685k	105782
605k	105788
190k	105789
472k	105790
485k	105792
235k	105793
219k	105794
1,1M	105795
264k	105796
348k	105799
 53k	105801
243k	105802
138k	105808
357k	105809
408k	105810
203k	105811
894k	105821
304k	105825
602k	105827
503k	105835
152k	105837
323k	105847
519k	105851
201k	105869
319k	105872
 87k	105874
 84k	105875
 51k	105876
233k	105877
240k	105878
182k	105896
520k	105897
311k	105898
434k	105900
 99k	105901
209k	105902
200k	105904
237k	105905
281k	105906
1,2M	105907
477k	105908
328k	105910
238k	105911
304k	105913
 70k	105914
250k	105915
477k	105916
304k	105917
241k	105918
291k	105922
529k	105931
210k	105935
287k	105936
310k	105937
464k	105939
242k	105940
171k	105941
368k	105942
762k	105946
435k	105947
155k	105949
150k	105958
319k	105962
433k	105963
 68k	105964
337k	105993
514k	105994
308k	105995
357k	106023
542k	106026
542k	106027
 69k	106030
407k	106031
117k	106032
572k	106033
511k	106034
204k	106035
 75k	106037
223k	106040
493k	106062
211k	106063
242k	106064
598k	106065
547k	106066
174k	106070
109k	106071
630k	106073
661k	106074
215k	106075
225k	106076
132k	106077
336k	106100
528k	106101
557k	106103
321k	106106
437k	106108
369k	106109
164k	106111
547k	106113
565k	106116
254k	106119
432k	106120
312k	106121
151k	106122
324k	106123
535k	106135
732k	106142
542k	106143
510k	106145
478k	106151
649k	106218
233k	106219
289k	106220
280k	106221
462k	106223
684k	106224
684k	106225
397k	106226
302k	106227
166k	106228
253k	106229
103k	106231
402k	106236
440k	106237
502k	106238
436k	106239
444k	106240
242k	106241
531k	106243
162k	106244
178k	106252
118k	106253
353k	106255
534k	106256
477k	106257
385k	106258
385k	106260
488k	106261
542k	106263
490k	106264
 93k	106265
539k	106270
420k	106271
113k	106272
241k	106276
114k	106325
215k	106326
241k	106330
240k	106331
271k	106332
153k	106333
444k	106335
179k	106336
325k	106337
438k	106338
 94k	106341
137k	106342
349k	106345
111k	106346
505k	106347
109k	106348
494k	106353
346k	106354
278k	106356
370k	106357
734k	106360
247k	106363
 55k	106370
428k	106372
320k	106373
450k	106375
181k	106382
195k	106384
716k	106385
381k	106386
373k	106387
572k	106397
275k	106400
477k	106407
244k	106408
281k	106409
662k	106410
112k	106415
439k	106416
364k	106417
249k	106419
576k	106425
 51k	106426
200k	106428
746k	106429
244k	106430
360k	106431
365k	106432
699k	106433
430k	106435
452k	106437
262k	106438
164k	106439
951k	106440
441k	106441
410k	106442
404k	106443
 65k	106444
707k	106445
735k	106446
 70k	106447
666k	106448
324k	106449
378k	106450
175k	106451
374k	106452
351k	106453
 73k	106454
6,0k	106455
160k	106457
 94k	106458
412k	106459
323k	106460
422k	106461
 75k	106462
433k	106463
699k	106464
264k	106465
259k	106466
259k	106467
259k	106468
259k	106469
344k	106470
 73k	106471
 57k	106472
219k	106474
558k	106475
218k	106476
432k	106477
325k	106478
786k	106479
124k	106480
400k	107092
276k	107093
148k	107094
296k	107095
566k	107096
275k	107097
185k	107098
318k	107101
679k	107102
236k	107103
730k	107104
293k	107105
223k	107106
132k	107107
494k	107108
266k	107111
 55k	107112
636k	107113
 89k	107115
249k	107116
553k	107118
370k	107119
299k	107120
365k	107121
160k	107122
 70k	107123
 75k	107124
478k	107125
648k	107126
1,0M	107128
634k	107129
341k	107130
233k	107131
266k	107132
407k	107133
356k	107135
312k	107136
394k	107139
413k	107145
222k	107146
400k	107147
383k	107148
422k	107149
 52k	107150
164k	107151
 65k	107153
165k	107154
335k	107155
568k	107156
 76k	107158
172k	107161
328k	107162
186k	107163
670k	107164
375k	107165
331k	107166
127k	107168
366k	107169
251k	107170
448k	107171
410k	107172
301k	107173
 86k	107174
621k	107175
368k	107176
 60k	107177
 46k	107178
 74k	107179
435k	107180
 68k	107181
302k	107182
155k	107184
242k	107185
443k	107186
235k	107189
543k	107190
357k	107191
369k	107192
109k	107193
 65k	107194
 68k	107195
203k	107196
754k	107197
 55k	107199
496k	107200
597k	107201
609k	107202
612k	107203
116k	107204
 50k	107205
 67k	107206
 65k	107207
330k	107208
214k	107209
124k	107210
283k	107211
300k	107212
 46k	107213
191k	107214
269k	107217
313k	107218
 68k	107219
338k	107220
 49k	107221
317k	107224
300k	107226
295k	107227
 74k	107229
433k	107231
422k	107235
363k	107237
252k	107238
474k	107240
328k	107241
659k	107242
237k	107243
276k	107244
254k	107245
535k	107246
504k	107247
126k	107248
210k	107249
254k	107250
209k	107251
555k	107252
 93k	107253
225k	107254
 87k	107257
109k	107261
109k	107262
147k	107263
237k	107264
125k	107266
129k	107267
178k	107270
228k	107272
438k	107274
282k	107275
276k	107276
157k	107277
286k	107278
182k	107279
231k	107280
138k	107281
 42k	107283
200k	107284
 83k	107285
 80k	107289
129k	107290
177k	107293
180k	107294
367k	107295
424k	107296
329k	107297
541k	107301
339k	107302
 44k	107305
670k	107306
269k	107310
622k	107311
595k	107312
476k	107314
258k	107317
504k	107318
330k	107321
310k	107322
281k	107325
144k	107326
215k	107327
253k	107328
444k	107332
396k	107334
152k	107336
 81k	107337
121k	107338
247k	107339
335k	107340
248k	107342
289k	107343
286k	107344
 84k	107345
441k	107346
618k	107347
465k	107348
118k	107349
257k	107351
394k	107352
171k	107354
 73k	107357
420k	107359
500k	107360
236k	107362
358k	107363
146k	107364
 50k	107365
235k	107368
544k	107369
 92k	107370
433k	107372
381k	107373
172k	107374
278k	107375
 81k	107376
115k	107377
290k	107378
397k	107379
489k	107380
165k	107381
260k	107383
 46k	107384
 97k	107385
509k	107386
408k	107387
 75k	107389
249k	107393
 64k	107394
545k	107395
113k	107396
600k	107398
125k	107399
538k	107400
284k	107401
214k	107403
573k	107404
715k	107406
 53k	107409
271k	107410
 98k	107412
385k	107413
856k	107414
316k	107415
 25k	107416
  1M	107417
310k	107418
463k	107421
 81k	107422
134k	107423
 53k	107425
213k	107426
304k	107427
158k	107429
 93k	107431
113k	107432
324k	107436
253k	107437
129k	107438
 80k	107439
368k	107440
146k	107441
497k	107442
 92k	107443
400k	107445
177k	107447
 68k	107448
889k	107449
187k	107454
183k	107455
381k	107456
402k	107457
397k	107461
397k	107462
 39k	107463
217k	107464
207k	107465
284k	107466
 93k	107467
206k	107468
394k	107469
533k	107470
113k	107471
125k	107472
292k	107473
165k	107476
621k	107478
194k	107479
286k	107480
171k	107481
 47k	107483
283k	107485
411k	107486
197k	107487
1,1M	107488
  1M	107491
301k	107492
141k	107493
114k	107494
  1M	107495
434k	107496
312k	107499
509k	107500
563k	107503
458k	107505
 88k	107506
103k	107508
362k	107509
346k	107511
567k	107514
290k	107515
 49k	107516
582k	107517
369k	107518
 38k	107520
563k	107521
563k	107522
463k	107523
 46k	107524
435k	107525
191k	107527
305k	107528
213k	107529
285k	107531
 78k	107532
247k	107533
163k	107536
973k	107541
286k	107542
110k	107543
266k	107544
339k	107545
377k	107546
298k	107548
 31k	107550
253k	107553
336k	107554
203k	107555
203k	107556
267k	107557
159k	107558
 40k	107559
304k	107560
141k	107561
492k	107562
105k	107563
241k	107564
499k	107565
 53k	107566
315k	107567
256k	107568
 62k	107569
 75k	107570
 63k	107571
 59k	107572
 62k	107573
415k	107574
174k	107575
283k	107576
 73k	107577
454k	107578
 87k	107580
189k	107584
164k	107585
259k	107586
255k	107588
1,1M	107589
259k	107590
 73k	107592
317k	107593
118k	107594
280k	107596
181k	107605
363k	107608
352k	107610
202k	107611
360k	107612
109k	107614
114k	107616
388k	107618
125k	107620
315k	107622
144k	107623
 47k	107624
811k	107625
420k	107627
 94k	107629
275k	107630
445k	107631
116k	107632
 75k	107633
634k	107638
331k	107639
171k	107642
259k	107643
1,1M	107645
 59k	107646
 99k	107647
534k	107648
 86k	107649
532k	107650
378k	107653
149k	107655
271k	107656
312k	107657
 93k	107659
123k	107660
471k	107661
110k	107664
122k	107666
357k	107667
 97k	107668
223k	107672
 85k	107673
264k	107674
381k	107676
 65k	107677
313k	107678
509k	107679
399k	107680
1,0M	107681
322k	107682
 59k	107683
 69k	107684
 72k	107686
 65k	107687
163k	107689
231k	107692
 60k	107693
221k	107694
174k	107697
382k	107698
212k	107699
281k	107701
 56k	107702
358k	107703
934k	107704
350k	107705
 96k	107706
107k	107707
188k	107708
294k	107709
 78k	107711
 94k	107712
322k	107713
117k	107718
303k	107719
193k	107722
223k	107723
 78k	107726
 78k	107727
223k	107728
303k	107732
453k	107733
270k	107736
547k	107738
393k	107739
204k	107740
430k	107741
352k	107742
 51k	107743
 52k	107746
587k	107747
364k	107748
492k	107749
222k	107751
239k	107752
159k	107754
491k	107755
301k	107756
135k	107757
224k	107758
331k	107760
159k	107761
346k	107765
319k	107766
491k	107767
188k	107768
195k	107769
295k	107770
346k	107775
 49k	107776
116k	107777
118k	107778
321k	107780
303k	107781
 89k	107782
217k	107784
434k	107786
264k	107787
 25k	107789
281k	107792
565k	107793
165k	107795
591k	107796
343k	107797
295k	107798
409k	107802
306k	107804
570k	107807
355k	107809
468k	107810
653k	107811
223k	107812
580k	107813
 74k	107814
819k	107815
298k	107816
539k	107817
 72k	107820
589k	107822
178k	107823
294k	107824
305k	107825
325k	107826
333k	107827
250k	107829
308k	107831
255k	107832
266k	107833
120k	107834
346k	107835
259k	107837
241k	107839
890k	107840
 61k	107841
 46k	107842
252k	107843
177k	107844
 75k	107845
 56k	107846
 75k	107847
 75k	107848
358k	107849
217k	107851
458k	107852
371k	107854
291k	107856
 55k	107858
194k	107859
424k	107860
238k	107861
406k	107862
469k	107863
511k	107864
328k	107865
183k	107866
219k	107867
289k	107869
326k	107870
245k	107873
189k	107876
327k	107877
 91k	107879
582k	107880
436k	107881
279k	107887
286k	107888
583k	107889
100k	107890
179k	107892
681k	107893
421k	107894
305k	107899
125k	107903
147k	107904
249k	107906
105k	107907
241k	107908
278k	107909
200k	107910
455k	107912
768k	107913
120k	107914
247k	107919
 94k	107926
252k	107927
566k	107928
201k	107929
619k	107930
367k	107933
248k	107934
 57k	107935
811k	107936
 65k	107939
622k	107940
363k	107945
136k	107947
294k	107948
 89k	107949
395k	107951
736k	107955
277k	107959
442k	107961
187k	107964
537k	107966
380k	107968
436k	107970
 45k	107971
365k	107972
332k	107973
222k	107977
170k	107978
526k	107979
458k	107981
318k	107983
632k	107984
519k	107985
427k	107986
235k	107990
373k	107991
230k	107992
287k	107993
287k	107995
521k	107997
241k	107998
681k	108000
366k	108001
297k	108002
678k	108004
317k	108005
250k	108006
124k	108007
537k	108008
 89k	108009
944k	108010
548k	108012
614k	108014
614k	108015
160k	108016
115k	108018
352k	108020
 58k	108021
455k	108022
184k	108023
569k	108024
431k	108025
 70k	108026
566k	108027
348k	108029
307k	108030
598k	108034
164k	108037
286k	108039
375k	108040
287k	108041
336k	108042
259k	108044
259k	108045
295k	108046
363k	108048
294k	108049
259k	108050
259k	108051
343k	108052
424k	108053
 94k	108054
314k	108055
 80k	108057
104k	108061
207k	108062
391k	108066
520k	108069
742k	108071
280k	108073
429k	108076
182k	108079
237k	108080
221k	108081
 30k	108082
538k	108083
 85k	108084
346k	108085
 82k	108086
117k	108087
 82k	108088
 54k	108090
 57k	108091
 86k	108092
 58k	108093
 40k	108094
662k	108096
635k	108097
146k	108098
285k	108099
629k	108101
604k	108102
103k	108103
501k	108104
164k	108105
659k	108106
629k	108107
539k	108108
866k	108109
734k	108110
148k	108112
400k	108113
319k	108114
409k	108115
185k	108116
397k	108117
649k	108118
263k	71157
435k	71602
279k	71603
356k	71604
633k	71605
410k	71606
394k	71607
479k	71608
281k	71609
159k	72035
 99k	72037
 99k	72039
464k	72041
173k	72708
139k	73603
102k	73604
227k	73607
278k	73608
250k	73609
170k	73610
335k	73611
1,1M	73612
166k	73615
130k	73616
144k	73617
127k	73622
201k	73623
227k	73624
204k	73625
222k	73626
242k	75002
215k	75003
637k	75086
171k	75087
153k	75088
304k	76204
277k	76205
503k	76206
174k	76207
494k	76208
703k	76209
516k	76210
544k	76211
495k	76212
346k	76213
527k	76214
535k	76215
438k	76216
457k	76217
218k	76552
360k	76874
236k	76876
270k	76877
197k	76880
223k	76884
206k	77074
498k	77258
461k	77260
 86k	77487
102k	77491
248k	77492
 85k	77495
281k	77497
 76k	77498
164k	77499
171k	77502
163k	77503
139k	77504
330k	77506
219k	77507
231k	77508
238k	77509
145k	77598
 68k	77601
944k	77602
178k	79748
440k	81158
218k	81291
548k	81334
186k	81851
417k	81932
659k	81936
312k	81938
868k	81956
 75k	81959
 71k	82286
133k	82288
154k	82338
438k	82890
 92k	83149
220k	83162
540k	83365
104k	83606
 95k	85530
323k	85531
307k	85546
225k	85561
113k	86048
179k	86852
327k	86895
 91k	87153
403k	87202
129k	87467
644k	87469
 48k	87470
402k	87471
129k	87497
491k	87529
295k	87789
226k	88025
226k	88026
423k	88145
344k	89350
269k	89411
748k	89661
690k	89662
 63k	90218
225k	90224
248k	90285
223k	90399
299k	90833
359k	91036
206k	91073
283k	91129
263k	91276
235k	91295
285k	91429
518k	92902
344k	92956
307k	93066
715k	93067
449k	93255
654k	93403
231k	93999
236k	94000
223k	94072
789k	94694
506k	95383
266k	95544
271k	95545
991k	98199
336k	98319
199k	98886
129k	99337
304k	99338
195k	99340
256k	99341
133k	99343
450k	99344
225k	99450
 63k	99921
 54k	99996
426M	parse
253M	temp
